"","tweet","city","movie","day","Sentiment_Score"
"1","RT @ScreenMediaFilm: Head to @FandangoNOW and rent or buy #MothersAndDaughters, a perfect #MothersDay gift - https://t.co/DP9dXEoqnq https:…","New York City","Mothers and Daughters","05.07.2016",0.627279764843514
"2","RT @ScreenMediaFilm: Right now! You can see a star-studded cast in #MothersAndDaughters on @iTunesMovies and in theaters! https://t.co/ExHC…","New York City","Mothers and Daughters","05.07.2016",0.359460283504177
"3","RT @ScreenMediaFilm: #MothersAndDaughters w/ @sharonstone @SusanSarandon@CourteneyCox @ChristinaRicci  &amp; more! https://t.co/ExHCyXv4CO http…","New York City","Mothers and Daughters","05.07.2016",0.666870961957153
"4","Get #MothersAndDaughters on @iTunesMovies right now https://t.co/ExHCyXv4CO The cast is INCREDIBLE - check it out! https://t.co/aSfVyWwh1w","New York City","Mothers and Daughters","05.07.2016",0.924379418042285
"5","Head to @FandangoNOW and rent or buy #MothersAndDaughters, a perfect #MothersDay gift - https://t.co/DP9dXEoqnq https://t.co/mNQX23l8pg","New York City","Mothers and Daughters","05.07.2016",0.612778100640256
"6","#MothersAndDaughters w/ @sharonstone @SusanSarandon@CourteneyCox @ChristinaRicci  &amp; more! https://t.co/ExHCyXv4CO https://t.co/ZDa4lxoF2V","New York City","Mothers and Daughters","05.07.2016",0.827737453246723
"7","Right now! You can see a star-studded cast in #MothersAndDaughters on @iTunesMovies and in theaters! https://t.co/ExHCyXv4CO Click and enjoy","New York City","Mothers and Daughters","05.07.2016",0.748916782217764
"8","RT @ScreenMediaFilm: See #MothersAndDaughters in theaters tomorrow, and on demand at midnight - https://t.co/ExHCyXv4CO","New York City","Mothers and Daughters","05.07.2016",0.806833268714397
"9","#film Mothers and Daughters - Movie Trailers - iTunes... https://t.co/teLlLBpAiI","New York City","Mothers and Daughters","05.07.2016",0.610449511530978
"10","RT @SymmetrytheBand: It's Mother's Day weekend! Congratulations to the producers, cast and crew of the movie Mothers and Daughters... https…","Los Angeles","Mothers and Daughters","05.07.2016",0.736972738419674
"11","RT @SymmetrytheBand: It's Mother's Day weekend!   Congratulations to the producers, cast and crew of the movie Mothers and Daughters... htt…","Los Angeles","Mothers and Daughters","05.07.2016",0.681213884339479
"12","It's Mother's Day weekend! Congratulations to the producers, cast and crew of the movie Mothers and Daughters... https://t.co/KcOJALJmnR","Los Angeles","Mothers and Daughters","05.07.2016",0.911681107942925
"13","It's Mother's Day weekend!   Congratulations to the producers, cast and crew of the movie Mothers and Daughters... https://t.co/A8f4pgHYY9","Los Angeles","Mothers and Daughters","05.07.2016",0.873927589609129
"14","#SusanSarandon Leads Star-Packed ‘Mothers And Daughters’; Rob &amp; Nick Reine... https://t.co/ihQv3ylW3D #Movies #Movie https://t.co/DTKJJYErbj","Los Angeles","Mothers and Daughters","05.07.2016",0.674233820397718
"15","Mothers and Daughters - Paul Duddridge https://t.co/RcGbdgzya4","Los Angeles","Mothers and Daughters","05.07.2016",0.583320717944557
"16","Bigdoggpinc has Mothers and Daughters - Paul Duddridge: Mothers and Daughters Paul Duddridge… https://t.co/oVUiEw1Dgg","Los Angeles","Mothers and Daughters","05.07.2016",0.719474726305251
"17","MOTHERS AND DAUGHTERS - Review - We Are Movie Geeks https://t.co/gLOVKyVNmQ","St. Louis ","Mothers and Daughters","05.07.2016",0.684722084655675
"18","RT @indiewire: Here's every movie being released in theaters this weekend. What are you seeing? https://t.co/AxgvZntQ87 https://t.co/Ocx7X4…","New York City","Elstree 1976","05.07.2016",0.714625171474977
"19","#film Elstree 1976 Movie Review &amp; Film Summary (2016) | Roger Ebert... https://t.co/OrV4WtT0Wp","New York City","Elstree 1976","05.07.2016",0.784188077328216
"20","Rent or purchase @elstree1976 on @iTunesMovies TONIGHT!

https://t.co/1LuD1hbw0n","New York City","Elstree 1976","05.07.2016",0.174943371280075
"21","[Movie Revs. Update] Elstree 1976 - Watching “Elstree 1976,"" I was reminded of a question that occasionally aro... https://t.co/aFFlybGLry","New York City","Elstree 1976","05.07.2016",0.454730563968754
"22","Indiewire: Film Guide: What Movie Should I Watch This Weekend? https://t.co/dbZzKqZAOh #film","New York City","Elstree 1976","05.07.2016",0.950852504498093
"23","Here's every movie being released in theaters this weekend. What are you seeing? https://t.co/AxgvZntQ87 https://t.co/Ocx7X4pusK","New York City","Elstree 1976","05.07.2016",0.723232827344912
"24","RT @zesty_movies: ‘#Elstree1976’ Review: ‘#StarWars’ Extras Don’t Kick Making-Of Doc Into Hy... https://t.co/0hu4DGbYfD #Movies #Movie http…","Los Angeles","Elstree 1976","05.07.2016",0.877821286942586
"25","‘#Elstree1976’ Review: ‘#StarWars’ Extras Don’t Kick Making-Of Doc Into Hy... https://t.co/0hu4DGbYfD #Movies #Movie https://t.co/1Za83Kd6Rk","Los Angeles","Elstree 1976","05.07.2016",0.963584262914103
