"","tweet","city","movie","day","Sentiment_Score"
"1","RT @ScreenMediaFilm: We're about to crack the top #25 overall on @iTunesMovies - Help #MothersAndDaughters climb to #1 for Mother's Day! ht…","New York City","Mothers and Daughters","05.08.2016",0.208812339422675
"2","RT @ScreenMediaFilm: Want a movie that's PERFECT for this weekend? Go see #MothersAndDaughters right now in theaters, or on demand https://…","New York City","Mothers and Daughters","05.08.2016",0.967244037980201
"3","RT @ashanti: Had a blast with these lovely ladies at the premier for our movie ""Mothers and daughters"" last… https://t.co/O78xXq7CHY","New York City","Mothers and Daughters","05.08.2016",0.956019981931922
"4","RT @ashanti: Hey guys!!!
My new movie Mothers and Daughters is in theaters and on demand TODAY! Watch it now: https://t.co/8bC0fNKUL9","New York City","Mothers and Daughters","05.08.2016",0.911712690496553
"5","RT @ashanti: Mothers and Daughters by Paul Duddridge https://t.co/olKEil08Fs https://t.co/hjfQBZX9CT","New York City","Mothers and Daughters","05.08.2016",0.288518545486119
"6","Want a movie that's PERFECT for this weekend? Go see #MothersAndDaughters right now in theaters, or on demand https://t.co/X74RT8ZnpZ","New York City","Mothers and Daughters","05.08.2016",0.976310489745791
"7","RT @ashanti: RT @HereTruthSpeaks: @ashanti its only in select theatres? Its not in Austin Tx where can I purchase?&gt; right here https://t.co…","New York City","Mothers and Daughters","05.08.2016",0.457404756805738
"8","We're about to crack the top #25 overall on @iTunesMovies - Help #MothersAndDaughters climb to #1 for Mother's Day! https://t.co/ExHCyXv4CO","New York City","Mothers and Daughters","05.08.2016",0.375923378373565
"9","Congrats to #Ashanti on the premier of her movie Mothers and Daughters.. she looks fab… https://t.co/j5itjMMAVa","New York City","Mothers and Daughters","05.08.2016",0.853263802141568
"10","RT @astrologyzone: MOTHERS AND DAUGHTERS is kind of movie that touches yr soul. You want to talk about it all night afterwards w a friend.…","New York City","Mothers and Daughters","05.08.2016",0.892788251189367
"11","RT @ScreenMediaFilm: Right now! You can see a star-studded cast in #MothersAndDaughters on @iTunesMovies and in theaters! https://t.co/ExHC…","New York City","Mothers and Daughters","05.08.2016",0.359460283504177
"12","RT @HereTruthSpeaks: @ashanti its only in select theatres? Its not in Austin Tx where can I purchase?&gt; right here https://t.co/olKEil08Fs <U+2764><U+FE0F>","New York City","Mothers and Daughters","05.08.2016",0.297172894333956
"13","Mothers and Daughters by Paul Duddridge https://t.co/olKEil08Fs https://t.co/hjfQBZX9CT","New York City","Mothers and Daughters","05.08.2016",0.484607585531886
"14","Hey guys!!!
My new movie Mothers and Daughters is in theaters and on demand TODAY! Watch it now: https://t.co/8bC0fNKUL9","New York City","Mothers and Daughters","05.08.2016",0.962451258997213
"15","MOTHERS AND DAUGHTERS is kind of movie that touches yr soul. You want to talk about it all night afterwards w a friend. Cried+cried.Loved it","New York City","Mothers and Daughters","05.08.2016",0.995896021649646
