"display_title" "opening_date" "publication_date" "url" "mpaa_rating" "critics_pick"
"1" "A Bigger Splash" "2016-05-04" "2016-05-03" "http://www.nytimes.com/2016/05/04/movies/a-bigger-splash-review-tilda-swinton.html" "R" 1
"2" "Sin Alas" NA "2016-05-03" "http://www.nytimes.com/2016/05/04/movies/sin-alas-review.html" "" 0
"3" "Baaghi" "2016-04-29" "2016-05-01" "http://www.nytimes.com/2016/05/02/movies/baaghi-review.html" "" 0
"4" "Keanu" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/keanu-review-key-and-peele.html" "R" 0
"5" "The American Side" NA "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/the-american-side-review.html" "" 0
"6" "Bourek" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/bourek-review.html" "" 0
"7" "Pali Road" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/pali-road-review.html" "" 0
"8" "Papa: Hemingway in Cuba" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/papa-hemingway-in-cuba-review.html" "R" 0
"9" "Dough" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/dough-review.html" "" 0
"10" "The Family Fang" "2016-05-06" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/the-family-fang-review-jason-bateman-nicole-kidman.html" "R" 0
"11" "The Man Who Knew Infinity" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/the-man-who-knew-infinity-review.html" "PG-13" 0
"12" "Viva" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/viva-review.html" "R" 1
"13" "Mother’s Day" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/mothers-day-review.html" "PG-13" 0
"14" "L’Attesa (The Wait)" NA "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/lattesa-the-wait-review.html" "" 0
"15" "Older Than Ireland" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/older-than-ireland-review.html" "" 1
"16" "A Beautiful Planet" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/a-beautiful-planet-review.html" "G" 0
"17" "Ratchet & Clank" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/ratchet-clank-review.html" "PG" 0
"18" "Fassbinder: To Love Without Demands" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/fassbinder-to-love-without-demands-review.html" "" 0
"19" "Viktoria" NA "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/viktoria-review.html" "" 0
"20" "Transfixed" NA "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/transfixed-review.html" "" 0
"21" "Men & Chicken" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/men-and-chicken-review.html" "" 0
"22" "Hockney" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/hockney-review.html" "" 0
"23" "The Meddler" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/the-meddler-review-susan-sarandon-rose-byrne.html" "PG-13" 1
"24" "Green Room" "2016-04-29" "2016-04-14" "http://www.nytimes.com/2016/04/15/movies/green-room-review.html" "R" 0
