"","tweet","city","movie","day","Sentiment_Score"
"1","RT @PeteBlackburn: Somehow Keanu, a movie about fake gangsters trying to rescue a kitten, was stupider than I expected","Boston","Keanu","05.04.2016",0.0813693989758693
"2","Somehow Keanu, a movie about fake gangsters trying to rescue a kitten, was stupider than I expected","Boston","Keanu","05.04.2016",0.0937184642012383
"3","“Keanu” = Not Your Average Buddy Action Film: The AHH movie review of ""Keanu"" starring Keegan-Michael Key, Jo... https://t.co/SYtkk6Q98L","New York City","Keanu","05.04.2016",0.757946568947002
"4","Keanu the movie uhh Que Que https://t.co/3N3fezLSfV","New York City","Keanu","05.04.2016",0.905214142741378
"5","RT @Tribeca: Catch up with @batemanjason's THE FAMILY FANG, one of #Tribeca2016's most impressive gems. https://t.co/EKnyjGUklc https://t.c…","New York City","Keanu","05.04.2016",0.809583729998418
"6","Keanu was hilarious who knew an action movie could be so adorable 
<ed><U+00A0><U+00BD><ed><U+00B8><U+00B8><ed><U+00A0><U+00BD><ed><U+00B8><U+00B8><ed><U+00A0><U+00BD><ed><U+00B8><U+00B8><ed><U+00A0><U+00BD><ed><U+00B8><U+00B8>/<ed><U+00A0><U+00BD><ed><U+00B8><U+00B8><ed><U+00A0><U+00BD><ed><U+00B8><U+00B8><ed><U+00A0><U+00BD><ed><U+00B8><U+00B8><ed><U+00A0><U+00BD><ed><U+00B8><U+00B8><ed><U+00A0><U+00BD><ed><U+00B8><U+00B8>","New York City","Keanu","05.04.2016",0.976566495865781
"7","“Keanu” = Not Your Average Buddy Action Film: The AHH movie review of ""Keanu"" starring Keegan-Michael Key, Jo... https://t.co/LDwjSli0MO","New York City","Keanu","05.04.2016",0.812791270931024
"8","RT @Tribeca: See the greatest film from the world's best animation studio tonight at @MetrographNYC. https://t.co/EKnyjGUklc https://t.co/4…","New York City","Keanu","05.04.2016",0.779402613555133
"9","KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only … https://t.co/veB1yX97ns https://t.co/sTkx4uFnbg","New York City","Keanu","05.04.2016",0.932933779213354
"10","KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only … https://t.co/nBtgJJ1t6Q https://t.co/EoRX7eIvDw","New York City","Keanu","05.04.2016",0.939557420819464
"11","KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only … https://t.co/52ojjwEaOm https://t.co/N79cFkxKOy","New York City","Keanu","05.04.2016",0.880369070338833
"12","KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only … https://t.co/0NmnlKW5S2 https://t.co/TEy1LswfIr","New York City","Keanu","05.04.2016",0.858565928445436
"13","KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only … https://t.co/0xM2c0kqUW https://t.co/zVjSWHdUb9","New York City","Keanu","05.04.2016",0.931930009762533
"14","KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only … https://t.co/uSNv2G7WYW https://t.co/mh7Ni02HrO","New York City","Keanu","05.04.2016",0.957960393723015
"15","KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only … https://t.co/xGOAGEyxVE https://t.co/BWmfUluQkE","New York City","Keanu","05.04.2016",0.809828429064258
"16","KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only … https://t.co/YF5EonwDoR https://t.co/vV5zSdOEUE","New York City","Keanu","05.04.2016",0.791748625595111
"17","KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only … https://t.co/QmQKJhyHow https://t.co/HsyBusYo4K","New York City","Keanu","05.04.2016",0.897848462437572
