"","tweet","city","movie","day","Sentiment_Score"
"1","I gotta write something on Tiger.  When I came out of #Baaghi I knew movie would do well&amp;his star power would grow. Why everyone surprised??","New York City","Baaghi","05.06.2016",0.572799709012746
"2","WATCH BAAGHI 2016 MOVIE ONLINE FOR FREE https://t.co/6xOPr0jH39","Seattle","Baaghi","05.06.2016",0.235335626971764
"3","@WahooFX Been checking out Key and Peele after seeing their movie, Keanu. Very clever writing. Funny guys.","New York City","Keanu","05.06.2016",0.888323200815302
"4","RT @_BWD_: fun movie, that Keanu. glad I got to see and review it: 
https://t.co/BwJxnK9YiX","New York City","Keanu","05.06.2016",0.994967933305371
"5","#LaurenceFishburne Matrix #DVD Movie with Keanu Reeves and Laurence Fishburne by Warn Bros https://t.co/ykY11khlj3 #TheMatrix #Morpheus","New York City","Keanu","05.06.2016",0.519681649400922
"6","RT @Tribeca: Key and Peele's subversive intelligence powers the comedy duo's gleefully-absurd #KEANU. https://t.co/EKnyjGUklc https://t.co/…","New York City","Keanu","05.06.2016",0.320886072255445
"7","RT @Tribeca: See @BatemanJason's deeply-felt and caustically funny #Tribeca2016 gem @TheFamilyFang now! https://t.co/EKnyjGUklc https://t.c…","New York City","Keanu","05.06.2016",0.871366972238248
"8","See @BatemanJason's deeply-felt and caustically funny #Tribeca2016 gem @TheFamilyFang now! https://t.co/EKnyjGUklc https://t.co/Tq3mGbrCVj","New York City","Keanu","05.06.2016",0.962907010217406
"9","From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are an art unt... https://t.co/d8oSZocJqm","New York City","Keanu","05.06.2016",0.938120449493415
"10","From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are an art unt... https://t.co/XmhaewtjQY","New York City","Keanu","05.06.2016",0.930449764045299
"11","From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are an art unt... https://t.co/Fu89RG1gMw","New York City","Keanu","05.06.2016",0.943900323016445
"12","From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are an art unt... https://t.co/cyr6gg3jwd","New York City","Keanu","05.06.2016",0.882974347765205
"13","From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are an art unt... https://t.co/6mHYhWt9bH","New York City","Keanu","05.06.2016",0.919562185723159
"14","From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are an art unt... https://t.co/czJP6b96af","New York City","Keanu","05.06.2016",0.915646947768329
"15","From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are an art unt... https://t.co/8k210baxEk","New York City","Keanu","05.06.2016",0.894162480620129
"16","#mashable From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are ... https://t.co/arTTXSkACM","New York City","Keanu","05.06.2016",0.834868209144699
"17","From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are an art unto themselves, the first ...","New York City","Keanu","05.06.2016",0.88223302058951
"18","@n__miami From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are ... https://t.co/ARqG4ZCU8v","New York City","Keanu","05.06.2016",0.833896846390901
"19","From 'Keanu' to 'Spotlight,' these are your 2016 Golden Trailer Award winners: 
Movie trailers are an art unt... https://t.co/CGlPWlYLbF","New York City","Keanu","05.06.2016",0.915268280972487
